season,episode,id,name,start,end,category,description
1,1,1,Both Ways,0:00,1:40,office,A prospective employee exits a job interview.
1,1,2,Has This Ever Happened to You?,1:40,3:27,,A lawyer solicits clients with plumbing problems.
1,1,3,Baby of the Year,3:27,7:25,game show,A cute baby competition has setbacks.
1,1,4,Instagram,7:25,9:25,social media,Women at brunch disagree about captions on social media.
1,1,5,Gift Receipt,9:25,17:15,party,"A gifter asks for his receipt back, then swallows it."
1,2,6,Biker Guy,0:00,2:15,driving,A city traveler is delighted by the roadways' motor vehicles.
1,2,7,River Mountain High,2:15,4:38,infomercial,"TC Topps TC Tuggers, the only shirt with a tugging knob, sponsors a high school TV drama."
1,2,8,Wilson's Toupees,4:38,6:23,infomercial,A brand offers a natural hair loss hairpiece set.
1,2,9,Pink Bag,6:23,9:27,office,A whoopee cushion prank misfires.
1,2,10,River Mountain High,9:27,10:44,,Continued.
1,2,11,The Man,10:44,16:16,,Two men reunite on an international flight.
1,3,12,Which Hand,0:00,3:50,,A magician prompts a couple's discord.
1,3,13,Focus Group,3:50,6:50,,A member of an automotive focus group feels he has a good idea for a car.
1,3,14,Laser Spine Specialists,6:50,9:32,infomercial,A spinal procedure allows patients to get back to what they love.
1,3,15,New Joe,9:32,11:38,funeral,An organist plays a funeral.
1,3,16,Game Night,11:38,0:33,party,A jazz fan joins a party game.
1,4,17,Lifetime Achievement,0:33,3:45,,Herbie Hancock gets an award.
1,4,18,A Christmas Carol,3:45,6:05,,Scrooge is enlisted in a sci-fi plot.
1,4,19,Nachos,6:05,9:59,,Daters dine at a Mexican restaurant.
1,4,20,Traffic,9:59,16:17,driving,A bumper sticker leads to a road incident and ends with a eulogy of Friday Night.
1,5,21,Brooks Brothers,0:00,3:12,driving,The search for whoever crashed their hot dog car into a Brooks Brothers.
1,5,22,Choking,3:12,6:13,restaurant,A diner downplays a hazard.
1,5,23,New Printer,6:13,8:42,office,Santa Claus is thanked around the office.
1,5,24,The Day Robert Palins Murdered Me,8:42,12:06,,A music executive attends a recording session.
1,5,25,Babysitter,12:06,0:42,party,A babysitter's excuse backfires.
1,6,26,Fenton's Stables and Horse Farm,0:42,2:17,infomercial,A horse ranch offers a solution to riders' emasculation.
1,6,27,Chunky,2:17,6:07,game show,A game show mascot takes the spotlight.
1,6,28,Bozo,6:07,8:14,office,Colleagues search for funny videos.
1,6,29,Baby Shower,8:14,11:40,party,A dad has suggestions.
1,6,30,Bozo,11:40,13:50,,Continued.
1,6,31,Party House,13:50,18:38,,An intervention is staged.
2,1,32,H.D. Vac Part II,0:00,2:50,office,"A work meeting is moved up, but it's lunchtime."
2,1,33,Corncob TV,2:50,4:42,funeral,A channel head protests Spectrum dropping his channel and fan favorite show Coffin Flop.
2,1,34,Prank Show,4:42,8:08,,Host Karl Havoc's prosthetics go awry.
2,1,35,Little Buff Boys,8:08,11:59,game show,Kids compete in a body competition.
2,1,36,Ghost Tour,11:59,17:41,,Visitors to a haunted house learn about apparitions.
2,2,37,The Capital Room,0:00,2:00,,Investor moguls explain themselves.
2,2,38,Dan Flashes,2:00,5:35,office,A retailer sells patterned shirts.
2,2,39,Diner Wink,5:35,9:03,restaurant,A neighboring diner chimes in.
2,2,40,The Shops at the Creeks,9:03,10:20,infomercial,A mall advertises coveted wares.
2,2,41,Baby Cries,10:20,16:58,restaurant,"A man who holds a crying baby is determined to change, while trying to enjoy a sloppy steak."
2,3,42,Grambles Lorelei Lounge,0:00,4:01,restaurant,Former business school students have dinner with their professor.
2,3,43,Crashmore Trailer,4:01,5:55,,Santa Claus stars in an action film.
2,3,44,H.D. Vac Commercial,5:55,7:28,infomercial,"A man promotes a hot dog vacuum, based on personal experience."
2,3,45,Crashmore Junket,7:28,10:30,,Santa Claus takes issue with a reporter's questions.
2,3,46,Qualstarr Trial,10:30,15:45,,Financial crimes and more come to light.
2,4,47,Wife Joke,0:00,4:20,,Jamie Taco comes up during a poker night.
2,4,48,Friend's Weekend,4:20,7:00,,Not everyone enjoys the Blues Brothers.
2,4,49,Calico Cut Pants,7:00,16:48,infomercial,Pants come in handy.
2,5,50,Parking Lot,0:00,2:00,driving,Driving ability becomes an issue.
2,5,51,Del Frisco's Double Eagle,2:00,5:31,,Hal starts credit card roulette.
2,5,52,Joanie's Birthday,5:31,9:10,,"A gift arrives in the form of a Johnny Carson impersonator at a low, low, low price point."
2,5,53,Little Buff Boys Competition,9:10,10:02,office,A corporate convention attends a body building competition.
2,5,54,Mars Restaurant,10:02,15:40,dating,Dates have complaints at a galactic restaurant.
2,6,55,Dave Suit,0:00,2:52,office,"Coworkers have a stern meeting about a bathroom incident involving huge, embarrassing dumps."
2,6,56,Driver's Ed,2:52,7:26,driving,An instructional video causes confusion.
2,6,57,Tammy Craps,7:26,9:30,,A doll has accidents.
2,6,58,Big Wave,9:30,12:26,office,An employee pretends to surf.
2,6,59,Claire's,12:26,16:31,kids,A girl is scared to get her ears pierced.
3,1,60,Barley Tonight,0:00,3:02,,"A talk show host loves to start fights, but also has no problem going on his phone."
3,1,61,Mortal Enemies,3:02,6:10,office,A team-building exercise creates bitterness between Rick and Stan.
3,1,62,Summer Loving,6:10,9:12,dating,Eligible men spend summer break with one beautiful woman to see if a summer fling will turn into summer love. There'a also a zip line by the pool.
3,1,63,Dad Video,9:12,11:12,kids,A father fails to give his nasty kids a lesson.
3,1,64,Designated Driver,11:12,16:41,driving,The Driving Crooner offers help to those who have had too much to drink.
3,2,65,Supermarket Swap,0:00,3:03,game show,A game show contestant's VR shopping spree results in problems.
3,2,66,Darmine Doggy Door,3:03,5:10,infomercial,Darmine Devices sells a more advanced pet door that also keeps out more.
3,2,67,Ponytail,5:10,8:10,driving,A man gets caught under a car that shouldn't have been parked over a sidewalk.
3,2,68,Eggman Game,8:10,10:36,office,A computer game gets an employee in trouble.
3,2,69,Sitcom Taping,10:36,16:59,,A man's limo-related dating trauma resurfaces during a live sitcom filming.
3,3,70,Silent Show,0:00,3:10,,Richard Brecky brings his mastery of silent theater to the stage.
3,3,71,First Date,3:10,6:45,dating,A man on a date has a dog haircut.
3,3,72,ABX Heart Monitor,6:45,9:30,,A cardiac event at Club Aqua leads a contractor to implant a heart tracker.
3,3,73,Drive Thru,9:30,11:52,driving,A fast-food customer finds out a way to order 55 of everything.
3,3,74,Robert's Christmas Birthday,11:52,17:04,office,Tensions are settled between colleagues.
3,4,75,Jenna's Bad Day,0:00,3:19,office,Coworkers' discussion of friend groups is interrupted.
3,4,76,Pacific Proposal Park,3:19,5:00,,An entrepreneurs matrimony-friendly grounds are overtaken by wrestlers.
3,4,77,Gelutol,5:00,8:47,,A hair-growth formula causes tension.
3,4,78,Summer Loving Farewell Package,8:47,9:30,dating,Ronnie says goodbye.
3,4,79,Children's Choir,9:30,16:09,family,Shirt brothers at a kids' concert are inspired by the lyrics of a song.
3,5,80,Bloody Eyeball,0:00,4:18,,Randall thinks he hears a volcano.
3,5,81,Photo Booth,4:18,6:53,,The bride's dad at a wedding photo area is distracted by business deals.
3,5,82,Talk About My Kids,6:53,14:32,party,"In trying to do a good deed, a guy becomes the most popular guy at the party."
3,6,83,Banana Breath,0:00,3:24,office,An employee at sensitivity training has a great idea for a T-shirt.
3,6,84,Metal Motto Search,3:24,6:45,game show,A game show rests on the capabilities of the Metaloid Maniac.
3,6,85,Don Bondarley,6:45,9:57,party,A party entertainer performs dirty songs.
3,6,86,Tasty Time Vids,9:57,16:45,social media,Draven obsesses over his Instagram videos.
